,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
284,Algorithms and Data Structures for Massive Datasets,"['by ', 'Dzejla Medjedovic', ', ', 'Emin Tahirovic', ', et al.']",$59.99,304 pages,3.8 out of 5 stars,3 ratings,['\n            \n              38%\n            \n          '],['\n            \n              62%\n            \n          '],[],[],[],7.38 x 0.8 x 9.25 inches,1.02 pounds,English,"Manning (July 5, 2022)", 978-1617298035,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0247786365IW839XNH6J&url=%2FAlgorithms-Data-Structures-Massive-Datasets%2Fdp%2F1617298034%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Dpython%26qid%3D1663459301%26sr%3D8-148-spons%26psc%3D1&qualifier=1663459301&id=4885880324769557&widgetName=sp_atf_next
285,Monty Python's The Meaning of Life [Blu-ray],[], $9.91 ,,4.7 out of 5 stars,"3,211 ratings",['\n            \n              82%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],6.75 x 5.3 x 0.35 inches; 2.4 Ounces,,"English (DTS-HD Master Audio 5.1), French (DTS-HD 2.0)",,,/Monty-Pythons-Meaning-Life-Blu-ray/dp/B07G24KRCL/ref=sr_1_124?keywords=python&qid=1663459285&sr=8-124
286,From Social Science to Data Science: Key Data Collection and Analysis Skills in Python,"['by ', 'Bernie Hogan']",,488 pages,,,[],[],[],[],[],,,English,"SAGE Publications Ltd; 1st edition (December 31, 2022)",,/Social-Science-Data-Collection-Analysis-ebook/dp/B0B5HCJTR5/ref=sr_1_121?keywords=python&qid=1663459285&sr=8-121
287,Introduction to Machine Learning with Python: A Guide for Data Scientists,[' '],$45.00,398 pages,4.5 out of 5 stars,565 ratings,['\n            \n              76%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],7 x 0.82 x 9.19 inches,1.3 pounds,English,"O'Reilly Media; 1st edition (November 15, 2016)", 978-1449369415,/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_122?keywords=python&qid=1663459285&sr=8-122
288,Easy Learning Design Patterns Python (2 Edition): Build Better and Reusable Object-Oriented Code (Easy Learning Python and design patterns and data structures and algorithms),"['by ', 'Yang Hu']", $28.99 ,99 pages,4.7 out of 5 stars,4 ratings,['\n            \n              70%\n            \n          '],['\n            \n              30%\n            \n          '],[],[],[],8 x 0.24 x 10 inches,10.2 ounces,English,"Independently published (April 6, 2020)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0195039M8FJ43I6TO8J&url=%2FEasy-Learning-Design-Patterns-Python%2Fdp%2FB086PLBYSZ%2Fref%3Dsr_1_129_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-129-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_mtf
289,"PYTHON CRASH COURSE: A PRACTICAL BEGINNER'S GUIDE TO LEARN PYTHON IN 7 DAYS OR LESS, INTRODUCING YOU INTO THE WORLD OF DATA SCIENCE, ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING, WITH HANDS-ON PROJECT","['by ', 'ERICK THOMPSON']",$14.99,145 pages,3.8 out of 5 stars,12 ratings,['\n            \n              60%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              27%\n            \n          '],[],[],6 x 0.33 x 9 inches,7.2 ounces,English,"Independently published (September 18, 2020)", 979-8683845827,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09822272MD8I9HNC2LFQ&url=%2FPYTHON-CRASH-COURSE-INTELLIGENCE-HANDS%2Fdp%2FB08JDTNQGD%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Dpython%26qid%3D1663459301%26sr%3D8-146-spons%26psc%3D1&qualifier=1663459301&id=4885880324769557&widgetName=sp_atf_next
290,Python machine learning: the complete beginner's guide to deep learning with python. Learn to use Scikit-learn and Pandas,"['by ', 'Willard D. Sanders']", $16.95 ,99 pages,3.3 out of 5 stars,9 ratings,['\n            \n              51%\n            \n          '],['\n            \n              24%\n            \n          '],['\n            \n              24%\n            \n          '],[],[],6 x 0.23 x 9 inches,5.1 ounces,English,"Independently published (September 29, 2020)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A02690463UJWB4TY92CBH&url=%2FPython-machine-learning-beginners-Scikit-learn%2Fdp%2FB08KGZZQT3%2Fref%3Dsr_1_145_sspa%3Fkeywords%3Dpython%26qid%3D1663459301%26sr%3D8-145-spons%26psc%3D1&qualifier=1663459301&id=4885880324769557&widgetName=sp_atf_next
291,"Functional Python Programming: Use a functional approach to write succinct, expressive, and efficient Python code, 3rd Edition","['by ', 'Steven F. Lott']",,,,,[],[],[],[],[],,,English,"Packt Publishing (December 9, 2022)",,/Functional-Python-Programming-functional-expressive-ebook/dp/B0B1N4PLL5/ref=sr_1_120?keywords=python&qid=1663459285&sr=8-120
292,Green Tree Pythons: Natural History and Captive Maintenance,"['by ', 'Justin Julander', ' and ', 'Terry Phillip']",,,,,[],[],[],[],[],,,,,,/Green-Tree-Pythons-Natural-Maintenance/dp/1541385799/ref=sr_1_108?keywords=python&qid=1663459285&sr=8-108
293,An Introduction to Python Programming for Scientists and Engineers,"['by ', 'Johnny Wei-Bing Lin', ', ', 'Hannah Aizenman', ', et al.']",$69.99,766 pages,,,[],[],[],[],[],7.5 x 1.13 x 9.7 inches,3.53 pounds,English,"Cambridge University Press; New edition (October 6, 2022)", 978-1108701129,/Introduction-Python-Programming-Scientists-Engineers/dp/1108701124/ref=sr_1_117?keywords=python&qid=1663459285&sr=8-117
