,titles,authors,dates
8,Text as Data: A New Framework for Machine Learning and the Social Sciences,"['by ', 'Justin Grimmer', ', ', 'Margaret E. Roberts', ', et al.']","['Mar 29, 2022']"
9,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools","['by ', 'David Mertz']","['Mar 31, 2021']"
10,Modern Deep Learning for Tabular Data: Novel Approaches to Common Modeling Problems,"['by ', 'Andre Ye', ' and ', 'Andy Wang']","['Jan 3, 2023']"
11,Probability and Statistics for Data Science: Math + R + Data (Chapman & Hall/CRC Data Science Series),"['by ', 'Norman Matloff']","['Jul 1, 2019']"
12,Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),"['by ', 'Benjamin S. Baumer', ', ', 'Daniel T. Kaplan', ', et al.']","['Apr 14, 2021']"
13,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,"['by ', 'Yoon Hyup Hwang']","['Mar 29, 2019']"
14,Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),"['by ', 'Murtaza Haider']","['Dec 23, 2015']"
15,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","['by ', 'Paul Deitel', ' and ', 'Harvey Deitel']","['Apr 25, 2019']"
0,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions","['by ', 'Matt Taddy']","['Aug 23, 2019']"
1,"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition","['by ', 'Stefanie Molin', ' and ', 'Ken Jee']","['Apr 29, 2021']"
2,Effective Data Science Infrastructure: How to make data scientists productive,"['by ', 'Ville Tuulos']","['Aug 16, 2022']"
3,"Data Science Ethics: Concepts, Techniques, and Cautionary Tales","['by ', 'David Martens']","['Jun 24, 2022']"
4,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse","['by ', 'Robert I. Kabacoff']","['May 3, 2022']"
5,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","['by ', 'Steven L. Brunton', ' and ', 'J. Nathan Kutz']","['Apr 18, 2019']"
6,"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)","['by ', 'Florian Dedov']","['Mar 23, 2020']"
7,Python for Data Science For Dummies,"['by ', 'John Paul Mueller', ' and ', 'Luca Massaron']","['Feb 27, 2019']"
8,"Probability, Statistics, and Data: A Fresh Approach Using R (Chapman & Hall/CRC Texts in Statistical Science)","['by ', 'Darrin Speegle', ' and ', 'Bryan Clair']","['Nov 26, 2021']"
9,"The Science of Football: The Math, Technology, and Data Behind America's Game","['by ', 'Will Carroll', ', ', 'Tyler Brooke', ', et al.']","['Sep 6, 2022']"
10,Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"['by ', 'Dirk P. Kroese', ', ', 'Zdravko I. Botev', ', et al.']","['Nov 22, 2019']"
11,Marketing Data Science: Modeling Techniques In Predictive Analytics With R And Python,"['by ', 'Thomas W. Miller']","['Dec 4, 2018']"
12,Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),"['by ', 'Shuai Huang', ' and ', 'Houtao Deng']","['Apr 20, 2021']"
13,Quantitative Models for Performance Evaluation and Benchmarking: Data Envelopment Analysis with Spreadsheets (International Series in Operations Research & Management Science Book 213),"['by ', 'Joe Zhu']","['Sep 11, 2014']"
