,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
332,Amazon Basics Portable Foldable Photo Studio Box with LED Light - 25 x 30 x 25 Inches,[],,,4.6 out of 5 stars,"3,707 ratings",['\n            \n              77%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              4%\n            \n          '],,,,,,/AmazonBasics-Portable-Foldable-Photo-Studio/dp/B01GIL6EU4/ref=sr_1_62?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-62
333,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,"['by ', 'David Ping']",$43.97,442 pages,4.7 out of 5 stars,39 ratings,['\n            \n              82%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              6%\n            \n          '],[],[],7.5 x 1 x 9.25 inches,1.66 pounds,English,"Packt Publishing (January 21, 2022)", 978-1801072168,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfbXRmOjIwMDAzNjc1MTYwNTY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMachine-Learning-Solutions-Architect-Handbook%2Fdp%2F1801072167%2Fref%3Dsr_1_67_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-67-spons%26psc%3D1
334,"Patterns, Predictions, and Actions: Foundations of Machine Learning","['by ', 'Moritz Hardt', ' and ', 'Benjamin Recht']",$49.99,320 pages,,,[],[],[],[],[],6.9 x 1 x 10.1 inches,1.59 pounds,English,"Princeton University Press (October 18, 2022)", 978-0691233734,/Patterns-Predictions-Actions-Foundations-Learning/dp/069123373X/ref=sr_1_59?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-59
335,Introduction to Machine Learning,[],,,,,[],[],[],[],[],,,,,,/Recommendations-Three-Types-Learning/dp/B09CP1Z6GH/ref=sr_1_58?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-58
336,"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using TensorFlow","['by ', 'Magnus Ekman']",$53.23,752 pages,4.7 out of 5 stars,66 ratings,['\n            \n              84%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.3 x 1.1 x 9 inches,2.43 pounds,English,"Addison-Wesley Professional; 1st edition (August 17, 2021)", 978-0137470358,/Learning-Deep-Processing-Transformers-TensorFlow/dp/0137470355/ref=sr_1_56?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-56
337,"Python Feature Engineering Cookbook: Over 70 recipes for creating, engineering, and transforming features to build machine learning models","['by ', 'Soledad Galli']",$39.99,372 pages,4.0 out of 5 stars,30 ratings,['\n            \n              61%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              11%\n            \n          '],7.5 x 0.84 x 9.25 inches,1.41 pounds,English,"Packt Publishing (January 22, 2020)", 978-1789806311,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfbXRmOjIwMDAyMDczODI4Mzc3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FPython-Feature-Engineering-Cookbook-transforming%2Fdp%2F1789806313%2Fref%3Dsr_1_65_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-65-spons%26psc%3D1
338,Machine Learning: Master Supervised and Unsupervised Learning Algorithms with Real Examples (English Edition),"['by ', 'Dr Ruchi Doshi', ', ', 'Dr Kamal Kant Hiran', ', et al.']",$19.95,294 pages,3.8 out of 5 stars,4 ratings,['\n            \n              69%\n            \n          '],['\n            \n              31%\n            \n          '],[],[],[],7.5 x 0.67 x 9.25 inches,1.03 pounds,English,"BPB Publications (September 17, 2021)", 978-9391392352,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfbXRmOjIwMDEwMzgzMzA5MDg4MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMachine-Learning-Supervised-Unsupervised-Algorithms%2Fdp%2F9391392350%2Fref%3Dsr_1_66_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-66-spons%26psc%3D1
339,Machine Learning For Absolute Beginners: A Plain English Introduction (Machine Learning from Scratch),"['by ', 'Oliver Theobald']", $16.90 ,162 pages,4.5 out of 5 stars,"1,110 ratings",['\n            \n              69%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],6 x 0.41 x 9 inches,8.8 ounces,English,"Independently published (January 1, 2018)",,/Machine-Learning-Absolute-Beginners-Introduction/dp/1549617214/ref=sr_1_54?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-54
340,Grokking Machine Learning,"['by ', 'Luis Serrano']",$47.99,512 pages,4.6 out of 5 stars,10 ratings,['\n            \n              72%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              14%\n            \n          '],[],[],7.38 x 1.1 x 9.25 inches,1.9 pounds,English,"Manning (December 14, 2021)", 978-1617295911,/Grokking-Machine-Learning-Luis-Serrano/dp/1617295914/ref=sr_1_53?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-53
341,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,"['by ', 'Pedro Domingos']", $8.99 ,352 pages,4.4 out of 5 stars,886 ratings,['\n            \n              65%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],5.45 x 1.2 x 8.25 inches,10.2 ounces,English,"Basic Books; Reprint edition (February 13, 2018)",,/Master-Algorithm-Ultimate-Learning-Machine/dp/0465094279/ref=sr_1_57?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-57
342,Pattern Recognition and Machine Learning (Information Science and Statistics),"['by ', 'Christopher M. Bishop']",$76.10,738 pages,4.6 out of 5 stars,663 ratings,['\n            \n              76%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.7 x 1.3 x 10.2 inches,4.73 pounds,English,"Springer (August 17, 2006)", 978-0387310732,/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738/ref=sr_1_26?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-26
343,Text as Data: A New Framework for Machine Learning and the Social Sciences,"['by ', 'Justin Grimmer', ', ', 'Margaret E. Roberts', ', et al.']",$35.99,360 pages,4.8 out of 5 stars,15 ratings,['\n            \n              78%\n            \n          '],['\n            \n              22%\n            \n          '],[],[],[],7 x 1 x 10 inches,1.55 pounds,English,"Princeton University Press (March 29, 2022)", 978-0691207551,/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_27?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-27
344,Machine Learning from Weak Supervision: An Empirical Risk Minimization Approach (Adaptive Computation and Machine Learning series),"['by ', 'Masashi Sugiyama', ', ', 'Han Bao', ', et al.']",$65.00,320 pages,,,[],[],[],[],[],7.12 x 0.74 x 9.25 inches,1.65 pounds,English,"The MIT Press (August 23, 2022)", 978-0262047074,/Machine-Learning-Weak-Supervision-Minimization/dp/0262047071/ref=sr_1_25?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-25
345,"Introduction to Machine Learning, fourth edition (Adaptive Computation and Machine Learning series)",[' '],$57.99,712 pages,4.7 out of 5 stars,62 ratings,['\n            \n              84%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              4%\n            \n          '],[],8.31 x 1.46 x 9.38 inches,3.2 pounds,English,"The MIT Press; fourth edition (March 24, 2020)", 978-0262043793,/Introduction-Machine-Learning-Adaptive-Computation/dp/0262043793/ref=sr_1_28?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-28
346,"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition","['by ', 'Stefan Jansen']",$44.99,820 pages,4.5 out of 5 stars,243 ratings,['\n            \n              68%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],7.5 x 1.85 x 9.25 inches,3.05 pounds,English,"Packt Publishing (July 31, 2020)", 978-1839217715,/Machine-Learning-Algorithmic-Trading-alternative/dp/1839217715/ref=sr_1_29?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-29
347,Python: Programming Basics for Absolute Beginners (Step-By-Step Python),"['by ', 'Nathan Clark']", $16.38 ,101 pages,4.0 out of 5 stars,182 ratings,['\n            \n              54%\n            \n          '],['\n            \n              20%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              9%\n            \n          '],6 x 0.23 x 9 inches,5.1 ounces,English,"CreateSpace Independent Publishing Platform; 2nd edition (April 5, 2018)",,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfYXRmX25leHQ6MjAwMDU4NjQwNTAyOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FPython-Programming-Beginners-Step-Step%2Fdp%2F1987518977%2Fref%3Dsr_1_52_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-52-spons%26psc%3D1
348,Quantum Computing for Programmers,"['by ', 'Robert Hundt']",$45.30,350 pages,4.3 out of 5 stars,3 ratings,['\n            \n              64%\n            \n          '],['\n            \n              36%\n            \n          '],[],[],[],6.69 x 0.88 x 9.61 inches,1.76 pounds,English,"Cambridge University Press; New edition (March 31, 2022)", 978-1009098175,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfYXRmX25leHQ6MjAwMDY5NjU0MDUyNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FQuantum-Computing-Programmers-Robert-Hundt%2Fdp%2F1009098179%2Fref%3Dsr_1_51_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-51-spons%26psc%3D1
349,Computer Programming for Beginners: Fundamentals of Programming Terms and Concepts,"['by ', 'Nathan Clark']",$18.99,201 pages,4.4 out of 5 stars,370 ratings,['\n            \n              63%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],6 x 0.46 x 9 inches,9.8 ounces,English,"CreateSpace Independent Publishing Platform (May 21, 2018)", 978-1719439558,/sspa/click?ie=UTF8&spc=MToyMzMwNzQzNTcxMjUxMTk3OjE2NjM0NjQ5OTg6c3BfYXRmX25leHQ6MjAwMDc2OTg2NzA4Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FComputer-Programming-Beginners-Fundamentals-Concepts%2Fdp%2F1719439559%2Fref%3Dsr_1_49_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464998%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-49-spons%26psc%3D1
350,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps","['by ', 'Valliappa Lakshmanan', ', ', 'Sara Robinson', ', et al.']",$36.99,408 pages,4.6 out of 5 stars,243 ratings,['\n            \n              73%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],9.06 x 0.94 x 6.85 inches,1.45 pounds,English,"O'Reilly Media; 1st edition (November 10, 2020)", 978-1098115784,/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_16?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-16
