,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
264,Easy Data Analysis: Classification or Regression Machine Learning Project: A flowchart for organising and carrying out your project with explanation,[' '],,,,,[],[],[],[],[],,,English,"Terra Cognita Ltd (February 9, 2021)",,/Easy-Data-Analysis-Classification-explanation-ebook/dp/B08WBYFWTN/ref=sr_1_203?keywords=data+analysis&qid=1663454656&sr=8-203
265,Adjustment Computations: Spatial Data Analysis,"['by ', 'Charles D. Ghilani']",$100.98,720 pages,4.5 out of 5 stars,18 ratings,['\n            \n              66%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],[],6.3 x 1.8 x 9 inches,2.35 pounds,English,"Wiley; 6th edition (October 23, 2017)", 978-1119385981,/Adjustment-Computations-Spatial-Data-Analysis/dp/1119385989/ref=sr_1_202?keywords=data+analysis&qid=1663454656&sr=8-202
266,Foundational Python for Data Science (Addison-Wesley Data & Analytics Series),"['by ', 'Kennedy Behrman']",$39.99,256 pages,4.3 out of 5 stars,7 ratings,['\n            \n              50%\n            \n          '],['\n            \n              31%\n            \n          '],['\n            \n              19%\n            \n          '],[],[],7 x 0.6 x 9 inches,14.8 ounces,English,"Pearson; 1st edition (October 7, 2021)", 978-0136624356,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0123469293KOGXRU0WDY&url=%2FFoundational-Python-Science-Addison-Wesley-Analytics%2Fdp%2F0136624359%2Fref%3Dsr_1_211_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-211-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
267,Introduction to Machine Learning with R: Rigorous Mathematical Analysis,"['by ', 'Scott V. Burger']",$49.99,226 pages,4.1 out of 5 stars,21 ratings,['\n            \n              59%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              7%\n            \n          '],7 x 0.48 x 9.19 inches,14.3 ounces,English,"O'Reilly Media; 1st edition (April 17, 2018)", 978-1491976449,/Introduction-Machine-Learning-Rigorous-Mathematical/dp/1491976446/ref=sr_1_200?keywords=data+analysis&qid=1663454656&sr=8-200
268,Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),[' '],$51.00,360 pages,4.5 out of 5 stars,6 ratings,['\n            \n              49%\n            \n          '],['\n            \n              51%\n            \n          '],[],[],[],6.69 x 0.75 x 9.61 inches,1.26 pounds,English,"SAGE Publications Ltd; 1st edition (February 4, 2021)", 978-1526449368,/Geographical-Data-Science-Spatial-Analysis/dp/1526449366/ref=sr_1_201?keywords=data+analysis&qid=1663454656&sr=8-201
269,DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,"['by ', 'Benjamin Smith']",$19.99,167 pages,5.0 out of 5 stars,2 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],6 x 0.38 x 9 inches,8.2 ounces,English,"Independently published (August 24, 2020)", 979-8678745439,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01283821OUMQMARYV9MZ&url=%2FDATA-ANALYTICS-Effective-Analytics-Effectively%2Fdp%2FB08GLWB38K%2Fref%3Dsr_1_212_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-212-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
270,Data Modeling for Azure Data Services: Implement professional data design and structures in Azure,"['by ', 'Peter ter Braake']",$51.99,428 pages,4.6 out of 5 stars,16 ratings,['\n            \n              58%\n            \n          '],['\n            \n              42%\n            \n          '],[],[],[],7.5 x 0.97 x 9.25 inches,1.61 pounds,English,"Packt Publishing (July 30, 2021)", 978-1801077347,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A00939571T0N2PJVYJQS0&url=%2FData-Modeling-Azure-Services-professional%2Fdp%2F1801077347%2Fref%3Dsr_1_210_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-210-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
271,Statistics and Data Analysis for Nursing Research,"['by ', 'Denise Polit']",$113.99,456 pages,4.3 out of 5 stars,239 ratings,['\n            \n              67%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              6%\n            \n          '],8 x 0.9 x 9.95 inches,1.5 pounds,English,"Pearson; 2nd edition (August 5, 2009)", 978-0135085073,/Statistics-Data-Analysis-Nursing-Research/dp/0135085071/ref=sr_1_199?keywords=data+analysis&qid=1663454656&sr=8-199
272,Artificial Intelligence with Power BI: Take your data analytics skills to the next level by leveraging the AI capabilities in Power BI,"['by ', 'Mary-Jo Diepeveen']",$46.99,348 pages,4.4 out of 5 stars,10 ratings,['\n            \n              58%\n            \n          '],['\n            \n              28%\n            \n          '],['\n            \n              14%\n            \n          '],[],[],7.5 x 0.79 x 9.25 inches,1.32 pounds,English,"Packt Publishing (April 29, 2022)", 978-1801814638,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A09254721QM934M04Z9OR&url=%2FArtificial-Intelligence-Power-leveraging-capabilities%2Fdp%2F1801814635%2Fref%3Dsr_1_209_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-209-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf
273,Qualitative Data Analysis: An Introduction,"['by ', 'Carol Grbich']",$42.73,344 pages,4.5 out of 5 stars,23 ratings,['\n            \n              72%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              7%\n            \n          '],[],6.6 x 0.8 x 9.4 inches,1.3 pounds,English,"SAGE Publications Ltd; Second edition (December 6, 2012)", 978-1446202975,/Qualitative-Data-Analysis-Carol-Grbich/dp/1446202976/ref=sr_1_198?keywords=data+analysis&qid=1663454656&sr=8-198
