,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
168,"Fast Math Success Workbook Grade 6-7: 6th to 7th Grade Math Workbook of Pre Algebra, Percent, Geometry, Inequalities, and Statistics With Answers","['by ', 'SKA Books']", $12.75 ,200 pages,,,[],[],[],[],[],8.5 x 0.46 x 11 inches,1.3 pounds,English,"Independently published (June 22, 2022)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A052599834TVP8ELX3CCT&url=%2FFast-Math-Success-Workbook-Grade%2Fdp%2FB0B53B6PY5%2Fref%3Dsr_1_148_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453032%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-148-spons%26psc%3D1&qualifier=1663453032&id=1851230073343748&widgetName=sp_atf_next
169,"Relativity, decays and electromagnetic fields (concepts of physics)","['by ', 'Alessio Mangoni']", $6.48 ,94 pages,4.2 out of 5 stars,43 ratings,['\n            \n              56%\n            \n          '],['\n            \n              27%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              8%\n            \n          '],[],4.33 x 0.22 x 7.13 inches,3.2 ounces,English,"Independently published (July 5, 2020)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08636552HDTFWADIAKN5&url=%2FRelativity-decays-electromagnetic-concepts-physics%2Fdp%2FB08C97X536%2Fref%3Dsr_1_147_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453032%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-147-spons%26psc%3D1&qualifier=1663453032&id=1851230073343748&widgetName=sp_atf_next
170,"A Fan's Guide to Baseball Analytics: Why WAR, WHIP, wOBA, and Other Advanced Sabermetrics Are Essential to Understanding Modern Baseball","['by ', 'Anthony Castrovince']", $10.99 ,240 pages,4.7 out of 5 stars,491 ratings,['\n            \n              76%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],5.5 x 0.7 x 8.25 inches,8.8 ounces,English,"Sports Publishing (May 12, 2020)",,/Fans-Guide-Baseball-Analytics-Understanding/dp/1683583442/ref=sr_1_121?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-121
171,Real Stats: Using Econometrics for Political Science and Public Policy,"['by ', 'Michael A. Bailey']",$111.59,648 pages,4.8 out of 5 stars,6 ratings,['\n            \n              78%\n            \n          '],['\n            \n              22%\n            \n          '],[],[],[],9.2 x 1.2 x 7.5 inches,2.2 pounds,English,"Oxford University Press; 2nd edition (December 28, 2020)", 978-0190859497,/Real-Stats-Econometrics-Political-Science/dp/0190859490/ref=sr_1_117?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-117
172,"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)","['by ', 'Oliver Theobald']",$14.90,153 pages,4.4 out of 5 stars,309 ratings,['\n            \n              67%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],6 x 0.39 x 9 inches,8.3 ounces,• How to make better business decisions using ,"Independently published (July 21, 2019)", 978-1081762469,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09633131QZCBUL7Q6TL3&url=%2FData-Analytics-Absolute-Beginners-Deconstructed%2Fdp%2F1081762462%2Fref%3Dsr_1_145_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453032%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-145-spons%26psc%3D1&qualifier=1663453032&id=1851230073343748&widgetName=sp_atf_next
173,Nonlinear Contingency Analysis,"['by ', 'T. V. Joe Layng', ', ', 'Paul Thomas Andronis', ', et al.']",$31.96,194 pages,4.9 out of 5 stars,28 ratings,['\n            \n              95%\n            \n          '],['\n            \n              5%\n            \n          '],[],[],[],5.98 x 0.47 x 9.02 inches,13.4 ounces,English,"Routledge; 1st edition (October 27, 2021)", 978-0367689506,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A022075828FANJ7UT3EDL&url=%2FNonlinear-Contingency-Analysis-Cognition-Behavior%2Fdp%2F0367689502%2Fref%3Dsr_1_146_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453032%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-146-spons%26psc%3D1&qualifier=1663453032&id=1851230073343748&widgetName=sp_atf_next
174,Statistics for the Behavioral Sciences - Standalone Book,"['by ', 'Frederick J Gravetter', ' and ', 'Larry B. Wallnau']",$94.46,768 pages,4.5 out of 5 stars,682 ratings,['\n            \n              75%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],8 x 1 x 10 inches,2.75 pounds,English,"Cengage Learning; 10th edition (January 1, 2016)", 978-1305504912,/Statistics-Behavioral-Sciences-Standalone-Book/dp/1305504917/ref=sr_1_109?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-109
175,Ultimate AP Statistics Practice Book: 100 Essential Problems Completely Explained on YouTube,"['by ', 'Kendall Roberg']",$14.70,112 pages,4.6 out of 5 stars,55 ratings,['\n            \n              80%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              5%\n            \n          '],[],8.5 x 0.26 x 11 inches,9.8 ounces,English,"CreateSpace Independent Publishing Platform (March 14, 2017)", 978-1542321761,/Ultimate-Statistics-Practice-Book-Completely/dp/154232176X/ref=sr_1_108?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-108
176,Statistics for Business and Economics,"['by ', 'James McClave', ', ', 'P. George Benson', ', et al.']",$223.99,888 pages,4.3 out of 5 stars,165 ratings,['\n            \n              68%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              9%\n            \n          '],8.8 x 1.75 x 11.2 inches,3.53 ounces,English,"Pearson; 13th edition (January 8, 2017)", 978-0134506593,/Statistics-Business-Economics-James-McClave/dp/0134506596/ref=sr_1_112?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-112
177,"Schaum's Outline of Probability and Statistics, 4th Edition: 897 Solved Problems + 20 Videos (Schaum's Outlines)","['by ', 'John Schiller', ', ', 'R. Alu Srinivasan', ', et al.']",$22.80,432 pages,4.4 out of 5 stars,161 ratings,['\n            \n              63%\n            \n          '],['\n            \n              21%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              3%\n            \n          '],8.3 x 0.82 x 10.8 inches,1.42 pounds,English,"McGraw Hill; 4th edition (December 6, 2012)", 978-0071795579,/Schaums-Outline-Probability-Statistics-4th/dp/007179557X/ref=sr_1_110?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-110
