,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
31,Data Pipelines with Apache Airflow,"['by ', 'Bas P. Harenslak', ' and ', 'Julian Rutger de Ruiter']",$47.62,480 pages,4.7 out of 5 stars,44 ratings,['\n            \n              77%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],[],7.38 x 1.4 x 9.25 inches,1.9 pounds,English,"Manning (April 27, 2021)", 978-1617296901,/Data-Pipelines-Apache-Airflow-Harenslak/dp/1617296902/ref=sr_1_44?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-44
32,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,"['by ', 'Yoon Hyup Hwang']",$44.99,464 pages,4.3 out of 5 stars,63 ratings,['\n            \n              59%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],7.5 x 1.05 x 9.25 inches,1.74 pounds,English,"Packt Publishing (March 29, 2019)", 978-1789346343,/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_45?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-45
33,Living in Data: A Citizen's Guide to a Better Information Future,"['by ', 'Jer Thorp']", $17.99 ,320 pages,4.4 out of 5 stars,72 ratings,['\n            \n              69%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              6%\n            \n          '],5.43 x 0.85 x 8.25 inches,10.6 ounces,English,"Picador (August 30, 2022)",,/Living-Data-Citizens-Better-Information/dp/1250849152/ref=sr_1_48?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-48
34,Be Data Driven: How Organizations Can Harness the Power of Data,"['by ', 'Jordan Morrow']",$34.99,240 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],6.14 x 0.55 x 9.21 inches,12 ounces,English,"Kogan Page; 1st edition (August 30, 2022)", 978-1398606128,/Be-Data-Driven-Organizations-Harness/dp/139860612X/ref=sr_1_42?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-42
35,"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition","['by ', 'Stephen Klosterman']",$36.99,432 pages,4.6 out of 5 stars,52 ratings,['\n            \n              79%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              5%\n            \n          '],[],7.5 x 0.98 x 9.25 inches,1.63 pounds,English,"Packt Publishing; 2nd ed. edition (July 29, 2021)", 978-1800564480,/Data-Science-Projects-Python-approach/dp/1800564481/ref=sr_1_41?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-41
36,The Kaggle Book: Data analysis and machine learning for competitive data science,"['by ', 'Konrad Banachewicz', ', ', 'Luca Massaron', ', et al.']",$39.94,530 pages,4.6 out of 5 stars,68 ratings,['\n            \n              81%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],7.5 x 1.2 x 9.25 inches,1.98 pounds,English,"Packt Publishing (April 22, 2022)", 978-1801817479,/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_38?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-38
37,Think Like a Data Scientist: Tackle the data science process step-by-step,"['by ', 'Brian Godsey']",$29.59,328 pages,4.5 out of 5 stars,31 ratings,['\n            \n              60%\n            \n          '],['\n            \n              36%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],[],7.38 x 0.7 x 9.25 inches,1.47 pounds,English,"Manning; 1st edition (April 2, 2017)", 978-1633430273,/Think-Like-Scientist-step-step/dp/1633430278/ref=sr_1_39?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-39
38,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","['by ', 'Martin Kleppmann']",$23.37,611 pages,4.8 out of 5 stars,"3,167 ratings",['\n            \n              85%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              2%\n            \n          '],7.01 x 1.24 x 9.17 inches,2.15 pounds,English,"O'Reilly Media; 1st edition (May 2, 2017)", 978-1449373320,/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_40?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-40
39,Data Smart: Using Data Science to Transform Information into Insight,"['by ', 'John W. Foreman']",$21.10,432 pages,4.5 out of 5 stars,346 ratings,['\n            \n              70%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],7.3 x 0.8 x 9.1 inches,1.6 pounds,English,"Wiley; 1st edition (November 12, 2013)", 978-1118661468,/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_37?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-37
40,The Little Book of Data Science Tricks: 100+ Techniques to Elevate Your Data Science Skills,"['by ', 'Maverick Lin']",,,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],,,English,,,/Little-Book-Data-Science-Tricks-ebook/dp/B08BJF9T1V/ref=sr_1_32?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-32
