,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,The Art of Statistics: How to Learn from Data,"['by ', 'David Spiegelhalter']",$17.99,448 pages,4.6 out of 5 stars,"2,764 ratings",['\n            \n              73%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],5.4 x 1.3 x 8.2 inches,13.6 ounces,English,"Basic Books (August 17, 2021)", 978-1541675704,/Art-Statistics-How-Learn-Data/dp/1541675703/ref=sr_1_7?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-7
1,Statistics For Dummies (For Dummies (Lifestyle)),[' '],$11.99,416 pages,4.3 out of 5 stars,"1,659 ratings",['\n            \n              64%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7.3 x 1.2 x 9.2 inches,1.69 pounds,English,"For Dummies; 2nd edition (June 7, 2016)", 978-1119293521,/Statistics-Dummies-Math-Science/dp/1119293529/ref=sr_1_9?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-9
2,Statistics for People Who (Think They) Hate Statistics,[' '],$31.99,512 pages,4.5 out of 5 stars,697 ratings,['\n            \n              77%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 1.16 x 10 inches,1.95 pounds,English,"SAGE Publications, Inc; 7th edition (September 10, 2019)", 978-1544381855,/Statistics-People-Think-They-Hate/dp/1544381859/ref=sr_1_10?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-10
3,"Statistics Laminate Reference Chart: Parameters, Variables, Intervals, Proportions (Quickstudy: Academic )","['by ', 'Inc. BarCharts']", $6.81 ,6 pages,4.6 out of 5 stars,"2,141 ratings",['\n            \n              76%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],8.5 x 11 x 0.06 inches,2.4 ounces,English,"Barcharts; Lam Crds edition (November 1, 2005)",,/Statistics-Laminate-Reference-Chart-Proportions/dp/1572229446/ref=sr_1_8?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-8
4,Naked Statistics: Stripping the Dread from the Data,[' '],$11.69,304 pages,4.6 out of 5 stars,"2,271 ratings",['\n            \n              72%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],5.5 x 0.8 x 8.2 inches,7.1 ounces,English,"W. W. Norton & Company; 1st edition (January 13, 2014)", 978-0393347777,/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_6?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-6
5,"Statistics, 11th Edition","['by ', 'Robert S. Witte', ' and ', 'John S. Witte']", $75.95 ,496 pages,4.5 out of 5 stars,97 ratings,['\n            \n              78%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],8 x 1.12 x 10 inches,2.4 pounds,English,"Wiley (January 17, 2017)",,/Statistics-11th-Robert-S-Witte/dp/1119386055/ref=sr_1_15?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-15
6,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"['by ', 'Peter Bruce', ', ', 'Andrew Bruce', ', et al.']",$24.88,368 pages,4.6 out of 5 stars,655 ratings,['\n            \n              76%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 0.9 x 9.1 inches,1.3 pounds,English,"O'Reilly Media; 2nd edition (June 2, 2020)", 978-1492072942,/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_5?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-5
7,The Cartoon Guide to Statistics,"['by ', 'Larry Gonick', ' and ', 'Woollcott Smith']", $16.19 ,230 pages,4.4 out of 5 stars,738 ratings,['\n            \n              68%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7.36 x 0.63 x 9.24 inches,11.4 ounces,English,"HarperPerennial; 1st edition (January 1, 1993)",,/Cartoon-Guide-Statistics-Larry-Gonick/dp/0062731025/ref=sr_1_16?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-16
8,Advanced Statistics for Health Research,"['by ', 'Richard J. Butler', ', ', 'Matthew J. Butler', ', et al.']",$108.00,300 pages,,,[],[],[],[],[],,1.74 pounds,English,"World Scientific Pub Co Inc (April 17, 2023)", 978-9811262302,/Advanced-Statistics-Health-Research-Richard/dp/9811262306/ref=sr_1_14?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-14
9,"Statistics for Absolute Beginners (Second Edition) (Data Science, Python & Statistics for Beginners)","['by ', 'Oliver Theobald']",$14.88,156 pages,4.4 out of 5 stars,137 ratings,['\n            \n              70%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              6%\n            \n          '],6 x 0.39 x 9 inches,8.5 ounces,English,"Independently published (June 18, 2020)", 979-8654976123,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06017198DJ8304M1R4Q&url=%2FStatistics-Absolute-Beginners-Second-Theobald%2Fdp%2FB08BDZ2DCF%2Fref%3Dsr_1_4_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452322%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-4-spons%26psc%3D1&qualifier=1663452322&id=796567592952104&widgetName=sp_atf
