,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
218,Learning TensorFlow: A Guide to Building Deep Learning Systems,"['by ', 'Tom Hope', ', ', 'Yehezkel S. Resheff', ', et al.']",$35.75,242 pages,3.9 out of 5 stars,62 ratings,['\n            \n              55%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              15%\n            \n          '],7.01 x 0.51 x 9.17 inches,1.47 pounds,English,"O'Reilly Media; 1st edition (September 12, 2017)", 978-1491978511,/Learning-TensorFlow-Guide-Building-Systems/dp/1491978511/ref=sr_1_261?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-261
219,Deep Learning Examples with PyTorch and fastai: A Developers' Cookbook,"['by ', 'Bernhard Mayr']",,401 pages,3.6 out of 5 stars,2 ratings,['\n            \n              52%\n            \n          '],['\n            \n              48%\n            \n          '],[],[],[],,," Text Analyses, Language Translation, Image Caption Generation...",,,/Deep-Learning-Examples-PyTorch-fastai-ebook/dp/B08KRH46DQ/ref=sr_1_252?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-252
220,"Machine and Deep Learning in Oncology, Medical Physics and Radiology","['by ', 'Issam El Naqa', ' and ', 'Martin J. Murphy']",$174.64,529 pages,,,[],[],[],[],[],6.4 x 1.1 x 9.46 inches,2.44 pounds,English,"Springer; 2nd ed. 2022 edition (February 3, 2022)", 978-3030830465,/Machine-and-Deep-Learning-in-Oncology_-Medical-Physics-and-Radiology/dp/3030830462/ref=sr_1_253?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-253
221,Deep Learning Patterns and Practices,"['by ', 'Andrew Ferlitsch', ', ', 'Mark Thomas', ', et al.']",,,5.0 out of 5 stars,2 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],,,,,,/Deep-Learning-Patterns-and-Practices/dp/B09WXFQFH9/ref=sr_1_255?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-255
222,Python Deep Learning for Beginners: Theory and Practices step-by-step using TensorFlow 2.0 and Keras (Machine Learning & Data Science for Beginners),[' '], $8.78 ,336 pages,4.0 out of 5 stars,16 ratings,['\n            \n              58%\n            \n          '],['\n            \n              21%\n            \n          '],['\n            \n              21%\n            \n          '],[],[],,,English,"AI Publishing LLC (May 25, 2020)",,/Python-Learning-Beginners-step-step-ebook/dp/B08959G3H8/ref=sr_1_254?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-254
223,State-of-the-Art Deep Learning Models in TensorFlow: Modern Machine Learning in the Google Colab Ecosystem,"['by ', 'David Paper']",,489 pages,5.0 out of 5 stars,3 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],,,English,"Apress (August 23, 2021)",,/State-Art-Learning-Models-TensorFlow-ebook/dp/B09DFHDWGF/ref=sr_1_256?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-256
224,Redes Neuronales & Deep Learning (Spanish Edition),"['by ', 'Fernando Berzal']", $44.78 ,753 pages,4.3 out of 5 stars,20 ratings,['\n            \n              72%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              8%\n            \n          '],7.5 x 1.7 x 9.25 inches,3.21 pounds,Spanish,"Independently published (November 14, 2018)",,/Redes-Neuronales-Deep-Learning-Spanish/dp/1731265387/ref=sr_1_250?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-250
225,Deep Learning for Physical Scientists: Accelerating Research with Machine Learning,"['by ', 'Edward O. Pyzer-Knapp', ' and ', 'Matthew Benatan']",$69.10,208 pages,5.0 out of 5 stars,2 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],6 x 0.66 x 9 inches,15 ounces,English,"Wiley; 1st edition (October 21, 2021)", 978-1119408338,/Deep-Learning-Physical-Scientists-Accelerating/dp/1119408334/ref=sr_1_251?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-251
226,Deep Learning and the Game of Go,"['by ', 'Max Pumperla', ' and ', 'Kevin Ferguson']",$50.58,384 pages,4.4 out of 5 stars,48 ratings,['\n            \n              65%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              4%\n            \n          '],[],7.38 x 0.9 x 9.25 inches,1.63 pounds,English,"Manning; 1st edition (January 25, 2019)", 978-1617295324,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfbXRmOjIwMDAzODM5NDU5NzU0MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeep-Learning-Game-Max-Pumperla%2Fdp%2F1617295329%2Fref%3Dsr_1_260_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-260-spons%26psc%3D1
227,"Embedded Deep Learning: Algorithms, Architectures and Circuits for Always-on Neural Network Processing","['by ', 'Bert Moons', ', ', 'Daniel Bankman', ', et al.']",$88.12,222 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],6.1 x 0.51 x 9.25 inches,1 pounds,English,"Springer; Softcover reprint of the original 1st ed. 2019 edition (January 19, 2019)", 978-3030075774,/Embedded-Deep-Learning-Architectures-Always/dp/303007577X/ref=sr_1_249?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-249
